member_id|first_name|last_name|email|address_line|city|postal_code|state|country|phone_number|birth_date|membership_length|join_date|donor_type|company_name|donation_amount|processing_fee_amount|preferred_language|payment_type|program_ind|program_funded|donation_date
58|Georgiana|Andreotti|||||||810-287-5647|1997-08-21|10.0|2016-02-15|Individual||2909.393592324411|58.18787184648823|fr-CA|In Person|1|Family Resource Centre|2017-03-26
725|Heda|Nappin|||||||206-414-2755|1998-04-09|8.0|2017-07-11|Individual||5860.441721676285|117.2088344335257|en-CA|In Person|0||2016-12-08
767|Jeri|Wollen|||||||505-186-0689|1996-08-04|1.0|2015-11-05|Individual||8493.29049861588|169.86580997231758|en-CA|Online|0||2016-04-09
253|Collin|Jinkins|||||||619-742-8071|1999-09-04|5.0|2015-04-02|Individual||2129.850157294138|42.597003145882766|fr-CA|Online|1|Housing|2015-01-11
756|Aurilia|Jillett|||||||520-183-4161|1978-10-21|7.0|2017-08-19|Individual||8480.020328653514|169.6004065730703|fr-CA|In Person|0||2016-02-01
642|Burnaby|MacGorrie|||||||262-246-9672|1995-01-09|1.0|2016-05-02|Individual||5440.793089558368|108.81586179116735|fr-CA|Online|0||2016-03-15
813|Libbi|Emblen|||||||901-608-6326|1995-10-23|2.0|2015-04-26|Individual||2911.264703348505|58.2252940669701|en-CA|Online|1|Housing|2015-05-14
594|Olive|Baddiley|||||||605-981-1017|1982-07-16|3.0|2016-05-04|Individual||6323.873192862934|126.47746385725868|en-CA|Online|0||2015-04-24
88|Lind|Nyland||||||||||2016-02-15|Individual||3882.732092852703|77.65464185705406|en-CA|Online|1|Trans Youth Mentorship|2015-10-20
867|Jamie|Gartland|||||||503-153-3051|1996-09-12|8.0|2015-10-18|Individual||8266.66167584396|165.3332335168792|en-CA|Online|1|Housing|2015-12-19
19|Sindee|Danick|||||||205-158-8629|1979-09-27|3.0|2017-11-19|Individual||106.97423174720433|2.1394846349440866|en-CA|Online|1|Sunday Drop In|2016-05-08
537|Paulie|Pettus|||||||805-327-8307|1988-08-29|1.0|2015-11-14|Individual||5976.752016031657|119.53504032063314|en-CA|Online|0||2015-11-20
7|Darelle|Rochford|||||||916-342-6479|1977-09-10|6.0|2017-02-05|Individual||9560.578486067601|191.21156972135202|fr-CA|In Person|0||2015-05-18
636|Bobby|Rawet|||||||901-803-4961|1997-09-16|3.0|2015-08-18|Individual||9497.233699181475|189.9446739836295|fr-CA|Online|1|Trans Youth Mentorship|2016-03-03
422|Megen|Camoys||||||||||2017-02-13|Individual||1826.8116237441843|36.53623247488369|fr-CA|Online|1|Housing|2015-04-12
936|Lannie|Brech|||||||210-124-4650|1983-05-19|2.0|2016-06-25|Individual||5893.122082407796|117.86244164815594|en-CA|In Person|1|Legal Clinic|2015-11-25
536|Cary|Climar|||||||719-551-7474|1981-03-31|8.0|2017-12-20|Individual||4569.2446542642865|91.38489308528573|en-CA|Online|0||2017-08-06
232|Karna|Isworth|||||||805-889-5188|1977-06-29|3.0|2017-04-16|Individual||4936.777171042244|98.73554342084488|fr-CA|In Person|1|Housing|2015-05-23
249|Virgil|Slaughter||||||||||2017-08-03|Individual||3231.318815446643|64.62637630893286|fr-CA|Online|1|Housing|2017-11-05
364|Lela|Fillgate|||||||402-603-4209|1999-08-15|9.0|2017-07-16|Individual||7885.135138667986|157.70270277335973|en-CA|Online|0||2015-12-18
618|Marthe|Kildahl|||||||510-751-7404|1992-06-24|1.0|2017-08-21|Individual||1484.448088710002|29.68896177420004|fr-CA|Online|1|Housing|2016-07-05
466|Lorain|Turfes|||||||559-429-1436|1997-02-03|9.0|2015-04-06|Individual||7347.672889891183|146.95345779782366|en-CA|Online|0||2016-01-16
106|Isa|Choppin|||||||916-999-4965|1994-03-25|2.0|2015-07-04|Individual||4425.150839738859|88.50301679477718|fr-CA|Online|0||2015-11-26
99|Selig|Peyes|||||||212-912-5622|1996-04-16|7.0|2017-02-07|Individual||512.3812164603943|10.247624329207886|fr-CA|Online|1|New Comer Settlement Services|2017-04-11
677|Antonella|Dunnaway|||||||901-882-4682|1990-01-01|3.0|2017-12-12|Individual||8666.346923463736|173.32693846927472|en-CA|In Person|1|Family Resource Centre|2017-03-06
924|Bendick|Freddi||||||||||2017-07-20|Individual||2669.5420125973137|53.39084025194627|fr-CA|In Person|1|Legal Clinic|2017-09-18
445|Norrie|Royans|||||||501-465-5367|1994-06-27|7.0|2015-12-04|Individual||1062.259704341122|21.24519408682244|fr-CA|Online|1|Trans Youth Mentorship|2015-08-07
278|Aurie|Ilbert|||||||682-939-0503|1985-10-14|8.0|2017-01-01|Individual||8455.360312791867|169.10720625583733|fr-CA|Online|0||2016-05-14
857|Janis|Bletcher||||||||||2015-08-05|Individual||9587.627303870724|191.75254607741448|fr-CA|In Person|1|Legal Clinic|2016-10-21
867|Jamie|Gartland|||||||503-153-3051|1996-09-12|8.0|2015-10-18|Individual||3703.666514485792|74.07333028971584|en-CA|Online|0||2017-07-17
734|Birdie|Eberst|||||||215-264-1720|1984-01-13|1.0|2015-05-17|Individual||8261.282257717721|165.22564515435442|fr-CA|Online|1|Meal Trans|2017-06-04
257|Audi|Noyce|||||||415-353-9491|1984-01-08|6.0|2017-07-10|Individual||7025.348455344488|140.50696910688976|en-CA|In Person|1|Housing|2017-01-12
614|Nelly|Maultby|||||||847-475-1135|1996-12-21|7.0|2015-03-19|Individual||869.5713920661166|17.391427841322333|fr-CA|In Person|1|Family Resource Centre|2015-11-07
390|Alex|Skayman|||||||786-177-2119|1976-12-16|10.0|2017-11-15|Individual||5519.308087826179|110.38616175652358|en-CA|In Person|0||2015-01-24
183|Pierson|Cradoc|||||||775-235-8585|1986-09-13|7.0|2016-03-15|Individual||2565.102940067422|51.30205880134844|fr-CA|Online|1|Sunday Drop In|2015-06-23
533|Marita|Murden|||||||316-673-3479|1984-04-15|1.0|2015-12-04|Individual||6135.7659033073305|122.71531806614661|en-CA|Online|0||2015-11-07
