address_line,birth_date,city,country,email,first_name,join_date,last_name,latitude,longitude,member_id,membership_length,phone_number,postal_code,state
711-437 JARVIS ST,6/24/87,TORONTO,Canada,dguitton0@mtv.com,Dorita,2/2/16,Guitton,43.664033,-79.3769798,678,2,415-741-9272,M4Y2H1,ON
32 SUFI CRESCENT,9/17/80,TORONTO,Canada,ktrusty1@google.co.uk,Kissiah,5/20/17,Trusty,43.72300469,-79.310759,106,5,505-276-0048,M4A2X3,ON
64 WELLAND AVE,4/2/91,TORONTO,Canada,clowle2@omniture.com,Cherish,10/6/16,Lowle,43.6903263,-79.3793939,67,7,713-836-9240,M4T2J1,ON
64 WELLAND AVE,4/20/77,TORONTO,Canada,mfellows3@boston.com,Moses,10/14/16,Fellows,43.6903263,-79.3793939,837,7,817-368-4777,M4T2J1,ON
106 EDGEWOOD AVE,,TORONTO,,hchappelow4@sakura.ne.jp,Hildegarde,6/27/16,Chappelow,43.67301517,-79.31485465,478,,,M4L3H1,ON
107-140 KINGSTON RD,5/23/82,TORONTO,Canada,jrooper5@icio.us,Joela,1/19/16,Rooper,43.7437747,-79.211733,925,3,859-846-5211,M4L1S9,ON
PO BOX 591 STN Q,7/17/94,TORONTO,Canada,lbrunel6@timesonline.co.uk,Lynnett,5/14/15,Brunel,43.7012822,-79.5164051,110,8,808-868-6339,M4T2N4,ON
204-15 ERSKINE AVE,1/4/93,TORONTO,Canada,hgobbet7@cnn.com,Harlan,9/26/16,Gobbet,43.71290592,-79.39070074,24,2,916-426-3227,M4P1Y5,ON
11 ECCLESTON DR APT 115,6/29/77,TORONTO,Canada,kisworth8@feedburner.com,Karna,4/16/17,Isworth,43.7270387,-79.3154277,232,3,805-889-5188,M4A1K2,ON
11 ECCLESTON DR APT 115,4/17/90,TORONTO,Canada,lmouget9@mayoclinic.com,Lexine,3/7/17,Mouget,43.7270387,-79.3154277,12,7,972-869-8514,M4A1K2,ON
100 PARMA CRT UNIT 6,6/25/92,NORTH YORK,Canada,gcalfea@reverbnation.com,Geoffrey,8/6/16,Calfe,43.7170959,-79.3013289,992,2,903-365-4233,M4A1A5,ON
2002-35 CHARLES ST W,8/28/98,TORONTO,Canada,cgronaverb@narod.ru,Carmelia,12/10/15,Gronaver,43.6681058,-79.3876044,323,9,573-231-6282,M4Y1R6,ON
619 AVENUE RD APT 1603,6/9/94,TORONTO,Canada,nwhertonc@vk.com,Norry,11/17/16,Wherton,43.690104,-79.402311,982,4,314-418-2593,M4V2K6,ON
1311-100 ROEHAMPTON AVENUE,9/17/97,TORONTO,Canada,ikrierd@furl.net,Indira,8/6/17,Krier,43.7090531,-79.3952171,206,1,814-129-8994,M4P1R3,ON
756 RHODES AVE,9/3/87,TORONTO,Canada,wdummere@usgs.gov,Winni,5/14/16,Dummer,43.6826139,-79.3246842,78,2,573-223-8140,M4J4X6,ON
22 LEITH PLACE,9/11/86,TORONTO,Canada,eheibelf@bigcartel.com,Ervin,7/23/16,Heibel,43.7267344,-79.4006379,689,1,239-580-3829,M4N2R8,ON
22 LEITH PLACE,9/1/86,TORONTO,Canada,acristobalg@nymag.com,Astrid,6/20/17,Cristobal,43.7267344,-79.4006379,251,2,505-697-4976,M4N2R8,ON
606-80 GOWAN AVENUE,7/18/95,TORONTO,Canada,jportsmouthh@apache.org,Jamison,10/8/15,Portsmouth,43.6884809,-79.3483086,851,5,505-437-8693,M4K2E1,ON
80 WOLVERLEIGH BLVD,12/17/89,TORONTO,Canada,aretteri@paginegialle.it,Alisun,2/10/15,Retter,43.68439448,-79.32741103,397,5,408-212-0793,M4J1R9,ON
107-260 GAMBLE AVE,9/8/85,EAST YORK,Canada,vshapiroj@aol.com,Violante,12/7/16,Shapiro,43.6919132,-79.3429287,915,9,330-916-1116,M4J2P3,ON
260 GAMBLE AVENUE,7/6/77,TORONTO,Canada,atomak@sitemeter.com,Angelle,12/8/17,Toma,43.69179046,-79.34247248,313,4,202-570-8605,M4J2P3,ON
381 EGLINTON AVE E,3/6/87,TORONTO,Canada,madleml@wsj.com,Myrtle,7/20/17,Adlem,43.70931521,-79.385092,228,3,540-712-9783,M4P1M5,ON
2 RANDOLPH ROAD,3/1/77,TORONTO,Canada,avequem@google.co.jp,Alfie,9/23/15,Veque,43.7011808,-79.3645337,521,9,410-435-9457,M4G3R7,ON
11 MOOREHILL DR,9/29/96,TORONTO,Canada,amumbrayn@wisc.edu,Abigael,9/16/16,Mumbray,43.69212767,-79.37122758,61,2,602-971-9283,M4G1A3,ON
