,address_line,birth_date,city,country,email,first_name,full_address,join_date,last_name,latitude,longitude,member_id,membership_length,phone_number,postal_code,state
0,711-437 JARVIS ST,1987-06-24,TORONTO,Canada,dguitton0@mtv.com,Dorita,"711-437 JARVIS ST , TORONTO , ON",2016-02-02,Guitton,,,678,2.0,415-741-9272,M4Y2H1,ON
1,32 SUFI CRESCENT,1980-09-17,TORONTO,Canada,ktrusty1@google.co.uk,Kissiah,"32 SUFI CRESCENT , TORONTO , ON",2017-05-20,Trusty,43.7230046860259,-79.310759004181,106,5.0,505-276-0048,M4A2X3,ON
2,64 WELLAND AVE,1991-04-02,TORONTO,Canada,clowle2@omniture.com,Cherish,"64 WELLAND AVE , TORONTO , ON",2016-10-06,Lowle,43.6903263,-79.3793939,67,7.0,713-836-9240,M4T2J1,ON
3,64 WELLAND AVE,1977-04-20,TORONTO,Canada,mfellows3@boston.com,Moses,"64 WELLAND AVE , TORONTO , ON",2016-10-14,Fellows,43.6903263,-79.3793939,837,7.0,817-368-4777,M4T2J1,ON
4,106 EDGEWOOD AVE,,TORONTO,,hchappelow4@sakura.ne.jp,Hildegarde,"106 EDGEWOOD AVE , TORONTO , ON",2016-06-27,Chappelow,43.6730151666667,-79.31485465,478,,,M4L3H1,ON
5,107-140 KINGSTON RD,1982-05-23,TORONTO,Canada,jrooper5@icio.us,Joela,"107-140 KINGSTON RD , TORONTO , ON",2016-01-19,Rooper,43.7437747,-79.211733,925,3.0,859-846-5211,M4L1S9,ON
6,PO BOX 591 STN Q,1994-07-17,TORONTO,Canada,lbrunel6@timesonline.co.uk,Lynnett,"PO BOX 591 STN Q , TORONTO , ON",2015-05-14,Brunel,,,110,8.0,808-868-6339,M4T2N4,ON
7,204-15 ERSKINE AVE,1993-01-04,TORONTO,Canada,hgobbet7@cnn.com,Harlan,"204-15 ERSKINE AVE , TORONTO , ON",2016-09-26,Gobbet,43.712905924,-79.390700744,24,2.0,916-426-3227,M4P1Y5,ON
8,11 ECCLESTON DR APT 115,1977-06-29,TORONTO,Canada,kisworth8@feedburner.com,Karna,"11 ECCLESTON DR APT 115 , TORONTO , ON",2017-04-16,Isworth,,,232,3.0,805-889-5188,M4A1K2,ON
9,11 ECCLESTON DR APT 115,1990-04-17,TORONTO,Canada,lmouget9@mayoclinic.com,Lexine,"11 ECCLESTON DR APT 115 , TORONTO , ON",2017-03-07,Mouget,,,12,7.0,972-869-8514,M4A1K2,ON
10,100 PARMA CRT UNIT 6,1992-06-25,NORTH YORK,Canada,gcalfea@reverbnation.com,Geoffrey,"100 PARMA CRT UNIT 6 , NORTH YORK , ON",2016-08-06,Calfe,,,992,2.0,903-365-4233,M4A1A5,ON
11,2002-35 CHARLES ST W,1998-08-28,TORONTO,Canada,cgronaverb@narod.ru,Carmelia,"2002-35 CHARLES ST W , TORONTO , ON",2015-12-10,Gronaver,,,323,9.0,573-231-6282,M4Y1R6,ON
12,619 AVENUE RD APT 1603,1994-06-09,TORONTO,Canada,nwhertonc@vk.com,Norry,"619 AVENUE RD APT 1603 , TORONTO , ON",2016-11-17,Wherton,,,982,4.0,314-418-2593,M4V2K6,ON
13,1311-100 ROEHAMPTON AVENUE,1997-09-17,TORONTO,Canada,ikrierd@furl.net,Indira,"1311-100 ROEHAMPTON AVENUE , TORONTO , ON",2017-08-06,Krier,,,206,1.0,814-129-8994,M4P1R3,ON
14,756 RHODES AVE,1987-09-03,TORONTO,Canada,wdummere@usgs.gov,Winni,"756 RHODES AVE , TORONTO , ON",2016-05-14,Dummer,43.6826139,-79.3246842,78,2.0,573-223-8140,M4J4X6,ON
15,22 LEITH PLACE,1986-09-11,TORONTO,Canada,eheibelf@bigcartel.com,Ervin,"22 LEITH PLACE , TORONTO , ON",2016-07-23,Heibel,43.7267344,-79.4006379,689,1.0,239-580-3829,M4N2R8,ON
16,22 LEITH PLACE,1986-09-01,TORONTO,Canada,acristobalg@nymag.com,Astrid,"22 LEITH PLACE , TORONTO , ON",2017-06-20,Cristobal,43.7267344,-79.4006379,251,2.0,505-697-4976,M4N2R8,ON
17,606-80 GOWAN AVENUE,1995-07-18,TORONTO,Canada,jportsmouthh@apache.org,Jamison,"606-80 GOWAN AVENUE , TORONTO , ON",2015-10-08,Portsmouth,43.6884809,-79.3483086,851,5.0,505-437-8693,M4K2E1,ON
18,80 WOLVERLEIGH BLVD,1989-12-17,TORONTO,Canada,aretteri@paginegialle.it,Alisun,"80 WOLVERLEIGH BLVD , TORONTO , ON",2015-02-10,Retter,43.6843944761905,-79.3274110333333,397,5.0,408-212-0793,M4J1R9,ON
19,107-260 GAMBLE AVE,1985-09-08,EAST YORK,Canada,vshapiroj@aol.com,Violante,"107-260 GAMBLE AVE , EAST YORK , ON",2016-12-07,Shapiro,,,915,9.0,330-916-1116,M4J2P3,ON
20,260 GAMBLE AVENUE,1977-07-06,TORONTO,Canada,atomak@sitemeter.com,Angelle,"260 GAMBLE AVENUE , TORONTO , ON",2017-12-08,Toma,43.6917904629049,-79.3424724833706,313,4.0,202-570-8605,M4J2P3,ON
